;ORIGEM;HERE;QUANTIDADE;PINV;CONF;CONFINV
96;Ato Ordinatório - Intimação dos Advogados das Partes;Certificação de Processo enquadrado em meta do CNJ;4.0;0.8862374538638627;0.0013366224041708218;0.9376801642112066
97;Ato Ordinatório - Intimação dos Advogados das Partes;Concluso para Despacho;2.0;0.9414018556726255;0.011544988540737242;0.5736203505282931
98;Ato Ordinatório - Intimação dos Advogados das Partes;Conclusão;4.0;0.8862374538638627;0.01384908763274375;0.5133952874475992
99;Ato Ordinatório - Intimação dos Advogados das Partes;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;2.0;0.9414018556726255;0.01783971028184538;0.4236609329419924
100;Ato Ordinatório - Intimação dos Advogados das Partes;Disponibilização no Diário da Justiça Eletrônico;1.0;0.9702586540055314;0.0008957469514862051;0.9577943682852316
101;Ato Ordinatório - Intimação dos Advogados das Partes;Distribuidor;1.0;0.9702586540055314;0.00030616350880876154;0.9853690644472325
102;Ato Ordinatório - Intimação dos Advogados das Partes;Encaminhado edital/relação para publicação;111.0;0.03503606129371903;0.017496807151979567;0.4307126467675959
103;Ato Ordinatório - Intimação dos Advogados das Partes;Escrivão/Diretor de Secretaria/Secretário Jurídico;1.0;0.9702586540055314;0.0003411536241011914;0.9837106470287581
104;Ato Ordinatório - Intimação dos Advogados das Partes;Expedição de Ato Ordinatório;2.0;0.9414018556726255;0.002671495302577022;0.8793181460400313
105;Ato Ordinatório - Intimação dos Advogados das Partes;Expedição de Carta;1.0;0.9702586540055314;0.0016900225686243635;0.9218623067997113
106;Ato Ordinatório - Intimação dos Advogados das Partes;Expedição de Certidão de Intimação Pessoal para a Procuradoria;1.0;0.9702586540055314;0.00030616350880876154;0.9853690644472325
107;Ato Ordinatório - Intimação dos Advogados das Partes;Expedição de Mandado;1.0;0.9702586540055314;0.004651935828128554;0.7993559558791526
108;Ato Ordinatório - Intimação dos Advogados das Partes;Expedição de Ofício;1.0;0.9702586540055314;0.0014520897846358404;0.9324823252592873
109;Ato Ordinatório - Intimação dos Advogados das Partes;Informações;1.0;0.9702586540055314;0.0008432617785475603;0.9602174773866704
110;Ato Ordinatório - Intimação dos Advogados das Partes;Mero expediente;2.0;0.9414018556726255;0.008883990272747949;0.6520171956111316
111;Ato Ordinatório - Intimação dos Advogados das Partes;Petição;3.0;0.913403297363231;0.018920904844381463;0.4021735214834355
112;Ato Ordinatório - Intimação dos Advogados das Partes;Prazo alterado feriado;1.0;0.9702586540055314;0.002038174215784041;0.9065403087013454
113;Ato Ordinatório - Intimação dos Advogados das Partes;Publicação;3.0;0.913403297363231;0.0005475953043265277;0.9739826429252362
114;Ato Ordinatório - Intimação dos Advogados das Partes;Remessa dos Autos para o Setor Técnico;3.0;0.913403297363231;0.0003656467048058923;0.982551415871159
115;Ato Ordinatório - Intimação dos Advogados das Partes;Trânsito em julgado;1.0;0.9702586540055314;0.005117304361517871;0.7816468444024484
116;Ato disponibilizado;Audiência de conciliação cancelada;1.0;0.9702586540055314;0.00032876712328767124;0.9842974074024382
117;Ato disponibilizado;Autos entregues com carga/vista ao advogado;1.0;0.9702586540055314;0.0017595129375951293;0.9187835192243987
118;Ato disponibilizado;Concluso ao juiz;4.0;0.8862374538638627;0.01825875190258752;0.4152000109664079
119;Ato disponibilizado;Decurso de Prazo;4.0;0.8862374538638627;0.010003044140030441;0.6178208581071162
120;Ato disponibilizado;Entrada de petição de acompanhamento;3.0;0.913403297363231;0.005461187214611872;0.7688133036806828
121;Ato disponibilizado;Juntada de documento;32.0;0.38054042660133675;0.028627092846270928;0.25204757535163624
122;Ato disponibilizado;Juntada de petição de acompanhamento;1.0;0.9702586540055314;0.00380517503805175;0.8326141049772346
123;Ato disponibilizado;Mandado;3.0;0.913403297363231;0.010995433789954339;0.5889986507573896
124;Ato disponibilizado;Remessa dos autos;1.0;0.9702586540055314;0.00754337899543379;0.6954849194365268
125;Ato ordinatório;Abandono da causa;1.0;0.9702586540055314;0.00045288840779863886;0.9784334473739961
126;Ato ordinatório;Acolhimento de Embargos de Declaração;1.0;0.9702586540055314;0.0003251506517528689;0.984468789114223
127;Ato ordinatório;Ato Ordinatório - Intimação dos Advogados das Partes;7.0;0.8094922126060465;0.00044376428236679816;0.9788633134764595
128;Ato ordinatório;Ato ordinatório;46.0;0.24935963353168028;0.0005897502892762494;0.9720080624722701
129;Ato ordinatório;Ausência das condições da ação;1.0;0.9702586540055314;0.00047528398840406607;0.977379121659083
130;Ato ordinatório;Ausência de pressupostos processuais;1.0;0.9702586540055314;0.0004097561784844828;0.9804672061635187
131;Ato ordinatório;Autos entregues com carga/vista ao advogado;4.0;0.8862374538638627;0.0005001679668545407;0.9762089810576472
132;Ato ordinatório;Autos entregues com carga/vista ao defensor público;2.0;0.9414018556726255;0.0003176854582177265;0.9848226530817822
133;Ato ordinatório;Aviso de Recebimento (AR);1.0;0.9702586540055314;0.0009547153065498779;0.9550792404678965
134;Ato ordinatório;Certidão com o Recebimento da Intimação Pessoal do Defensor;1.0;0.9702586540055314;0.00030690240088918747;0.9853340144902635
135;Ato ordinatório;Certidão emitida;14.0;0.6552776422698328;0.00839585432919015;0.6675206304965929
136;Ato ordinatório;Certificação de Processo enquadrado em meta do CNJ;2.0;0.9414018556726255;0.00079545784446684;0.9624297994302091
137;Ato ordinatório;Concluso ao juiz;8.0;0.7854168246311021;0.002748020686880752;0.8760846889214807
138;Ato ordinatório;Concluso para Despacho;7.0;0.8094922126060465;0.005630414857394067;0.7625753862666941
139;Ato ordinatório;Conclusão;5.0;0.8598795591152406;0.006725309909214952;0.7234214765537611
140;Ato ordinatório;Decisão Proferida;3.0;0.913403297363231;0.0016091639397973615;0.9254577567983777
141;Ato ordinatório;Decurso de Prazo;2.0;0.9414018556726255;0.001627412190661043;0.9246451089816374
142;Ato ordinatório;Definitivo;1.0;0.9702586540055314;0.0026219418627316804;0.8814183101865013
143;Ato ordinatório;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;3.0;0.913403297363231;0.008617321737399375;0.6604415524693141
144;Ato ordinatório;Despacho/decisão disponibilizado no diário da justiça eletrônico;5.0;0.8598795591152406;0.0009140714750807692;0.9569498117927973
145;Ato ordinatório;Despacho/decisão enviado para disponibilização no diário da justiça eletrônico;36.0;0.3372491787634368;0.000981258216897051;0.9538596169738941
146;Ato ordinatório;Documento;6.0;0.8343055836340231;0.00861151547576093;0.6606261844665811
147;Ato ordinatório;Edital enviado para disponibilização no diário da justiça eletrônico;3.0;0.913403297363231;0.00032266225390782145;0.9845867296400973
148;Ato ordinatório;Encaminhado edital/relação para publicação;16.0;0.6168795884136034;0.008517785823597477;0.6636138244004285
149;Ato ordinatório;Encerrar análise;1.0;0.9702586540055314;0.0016846453410971347;0.922100975771504
150;Ato ordinatório;Entrada de petição de acompanhamento;11.0;0.7174023174226072;0.0010019948656057797;0.952907869890197
151;Ato ordinatório;Expedição de Carta;4.0;0.8862374538638627;0.0009588626362916237;0.9548885715528352
152;Ato ordinatório;Expedição de Carta Precatória;1.0;0.9702586540055314;0.00042717496339981506;0.9796453721169507
153;Ato ordinatório;Expedição de Mandado;2.0;0.9414018556726255;0.002364807418743442;0.8923969459859608
154;Ato ordinatório;Expedição de Mandado de Busca e Apreensão;1.0;0.9702586540055314;0.0005648663108257749;0.9731731676094812
155;Ato ordinatório;Expedição de Ofício;1.0;0.9702586540055314;0.000848543665161186;0.959973348739549
156;Ato ordinatório;Expedição de documento;27.0;0.44255084629862323;0.0017957937781759214;0.9171801756284239
157;Ato ordinatório;Extinção da execução ou do cumprimento da sentença;1.0;0.9702586540055314;0.00037989540434391316;0.9818776688633709
158;Ato ordinatório;Homologação de Transação;1.0;0.9702586540055314;0.0007647676043779213;0.9638528013667466
159;Ato ordinatório;Informação;1.0;0.9702586540055314;0.0006610843608342769;0.9686758194477734
160;Ato ordinatório;Informações;1.0;0.9702586540055314;0.0005598895151356799;0.9734063561708807
161;Ato ordinatório;Juntada;4.0;0.8862374538638627;0.0004329812250382591;0.9793715805447724
162;Ato ordinatório;Juntada de documento;62.0;0.1538248680999899;0.004140694014158983;0.8192735640528747
163;Ato ordinatório;Levantamento da Suspensão ou Dessobrestamento;1.0;0.9702586540055314;0.0003110497306309333;0.9851373056104603
164;Ato ordinatório;Mandado;4.0;0.8862374538638627;0.001760956208345257;0.9187196838812796
165;Ato ordinatório;Mandado devolvido cumprido com finalidade não atingida;3.0;0.913403297363231;0.0004893849095260016;0.9767158698847509
166;Ato ordinatório;Mandado devolvido cumprido em parte;1.0;0.9702586540055314;0.0003326158452880113;0.9841150522961635
167;Ato ordinatório;Mero expediente;7.0;0.8094922126060465;0.004367967684006652;0.8103585986527932
168;Ato ordinatório;Petição;18.0;0.5807315892591316;0.009124954897789058;0.6444973126109041
169;Ato ordinatório;Prazo alterado feriado;1.0;0.9702586540055314;0.001126414757858153;0.9472172966811347
170;Ato ordinatório;Processo apensado;1.0;0.9702586540055314;0.00032266225390782145;0.9845867296400973
171;Ato ordinatório;Processo suspenso ou sobrestado por decisão judicial;1.0;0.9702586540055314;0.0003757480746021674;0.9820737268699512
172;Ato ordinatório;Recebimento;1.0;0.9702586540055314;0.0011123138367362174;0.9478605170608507
173;Ato ordinatório;Remessa;2.0;0.9414018556726255;0.0006901156690264973;0.9673229468694716
174;Ato ordinatório;Remessa dos autos;32.0;0.38054042660133675;0.0012715712988192551;0.9406212310133605
175;Ato ordinatório;Trânsito em julgado;1.0;0.9702586540055314;0.0025862748269526665;0.8829330473087914
176;Audiência Designada;Audiência Designada;1.0;0.9702586540055314;0.0005943321011814163;0.9717936872904995
177;Audiência Designada;Designação de audiência;6.0;0.8343055836340231;0.00031890990795100386;0.9847646031827438
178;Audiência Designada;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;1.0;0.9702586540055314;0.14561136478944697;0.0009029174134906306
179;Audiência Designada;Encaminhado edital/relação para publicação;2.0;0.9414018556726255;0.14401681524969195;0.0009749579392740957
180;Audiência Designada;Expedição de Ato Ordinatório;4.0;0.8862374538638627;0.01988838153221715;0.3838716789879736
181;Audiência Designada;Expedição de Carta;3.0;0.913403297363231;0.01175617887946655;0.5678179456772153
182;Audiência Designada;Mero expediente;2.0;0.9414018556726255;0.07139233166630427;0.03216425329630393
183;Audiência Designada;Petição;2.0;0.9414018556726255;0.1545698340218888;0.0005866106163762266
184;Audiência Redesignada;Expedição de Ato Ordinatório;1.0;0.9702586540055314;0.4124809741248097;2.3774095231833933e-09
185;Audiência de conciliação cancelada;Ato ordinatório;1.0;0.9702586540055314;0.02258751902587519;0.3370964523986623
186;Audiência de conciliação cancelada;Audiência de instrução designada;1.0;0.9702586540055314;0.00042617960426179604;0.9796923154997601
187;Audiência de conciliação cancelada;Concluso ao juiz;3.0;0.913403297363231;0.17990867579908676;0.000173213267127153
188;Audiência de conciliação designada;Audiência de conciliação cancelada;1.0;0.9702586540055314;0.00036529680365296805;0.9825679666941904
189;Audiência de conciliação designada;Audiência de conciliação realizada;3.0;0.913403297363231;0.00045662100456621003;0.978257647473366
190;Audiência de conciliação designada;Autos entregues com carga/vista ao advogado;1.0;0.9702586540055314;0.003942161339421614;0.8271413632091352
191;Audiência de conciliação designada;Despacho/decisão enviado para disponibilização no diário da justiça eletrônico;2.0;0.9414018556726255;0.013181126331811264;0.5301725008606584
192;Audiência de conciliação designada;Expedição de documento;10.0;0.7393928561842206;0.027899543378995435;0.2610319551717926
193;Audiência de conciliação designada;Juntada de documento;1.0;0.9702586540055314;0.07147640791476408;0.03203433106639566
194;Audiência de conciliação designada;Mandado;1.0;0.9702586540055314;0.027047184170471843;0.2719657867064794
195;Audiência de conciliação designada;Recebimento;1.0;0.9702586540055314;0.01512937595129376;0.48270789822546184
196;Audiência de conciliação realizada;Audiência de conciliação designada;1.0;0.9702586540055314;0.0007864028411973617;0.9628494304771467
197;Audiência de conciliação realizada;Concluso ao juiz;1.0;0.9702586540055314;0.07519025875190259;0.02678975692417541
198;Audiência de conciliação realizada;Entrada de petição de acompanhamento;1.0;0.9702586540055314;0.021841704718417048;0.3494195534195474
199;Audiência de conciliação realizada;Juntada de documento;6.0;0.8343055836340231;0.11882293252156266;0.0032788679868039046
200;Audiência de conciliação realizada;Remessa dos autos;3.0;0.913403297363231;0.03041603247082699;0.2312493312429312
201;Audiência de instrução cancelada;Audiência de conciliação designada;1.0;0.9702586540055314;0.002232369355657027;0.8981047805342648
202;Audiência de instrução cancelada;Concluso ao juiz;1.0;0.9702586540055314;0.2998477929984779;5.382308527184034e-07
203;Audiência de instrução cancelada;Expedição de documento;1.0;0.9702586540055314;0.18518518518518517;0.0001343578892649542
204;Audiência de instrução designada;Audiência de instrução cancelada;2.0;0.9414018556726255;0.0004058853373921867;0.9806499295595662
205;Audiência de instrução designada;Processo apto a ser redistribuído;1.0;0.9702586540055314;0.009030948756976154;0.6474206281463459
206;Ausência das condições da ação;Autos entregues com carga/vista ao defensor público;1.0;0.9702586540055314;0.0003294141868690211;0.984266746720348
207;Ausência das condições da ação;Certidão emitida;9.0;0.7620574710998715;0.014657460716622916;0.49379980665617024
208;Ausência das condições da ação;Concluso para Despacho;1.0;0.9702586540055314;0.009754483488849183;0.6252580877083271
209;Ausência das condições da ação;Conclusão;1.0;0.9702586540055314;0.011694203633850249;0.5695145894981101
210;Ausência das condições da ação;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;1.0;0.9702586540055314;0.015045698865432834;0.48465631229910544
211;Ausência das condições da ação;Disponibilização no Diário da Justiça Eletrônico;1.0;0.9702586540055314;0.0008014764814447165;0.962150982222791
212;Ausência das condições da ação;Documento;1.0;0.9702586540055314;0.015039816469238744;0.4847935789120618
213;Ausência das condições da ação;Encaminhado edital/relação para publicação;164.0;0.007072192992834239;0.014645695924234738;0.4940795588187503
214;Ausência das condições da ação;Encerrar análise;1.0;0.9702586540055314;0.0027514908197854397;0.875938346174936
215;Ausência das condições da ação;Expedição de documento;1.0;0.9702586540055314;0.0029838454694519814;0.8661948799202988
216;Ausência das condições da ação;Informação;19.0;0.5634598501330581;0.0009103008110353752;0.9571235365434886
217;Ausência das condições da ação;Informações;1.0;0.9702586540055314;0.000757358509989044;0.964196651006881
218;Ausência das condições da ação;Petição;1.0;0.9702586540055314;0.01595599967646821;0.46387596363584527
219;Ausência das condições da ação;Recebimento;2.0;0.9414018556726255;0.0017353068772564505;0.9198548057761767
220;Ausência das condições da ação;Recurso interposto;1.0;0.9702586540055314;0.00039117934690696254;0.9813444376368206
221;Ausência das condições da ação;Remessa dos autos;1.0;0.9702586540055314;0.0020529562717372923;0.9058954230390015
222;Ausência das condições da ação;Trânsito em julgado;1.0;0.9702586540055314;0.004350031985529306;0.8110585991116332
223;Ausência de pressupostos processuais;Ato Ordinatório - Intimação dos Advogados das Partes;1.0;0.9702586540055314;0.0007158485540334856;0.9661253620792319
224;Ausência de pressupostos processuais;Certidão emitida;11.0;0.7174023174226072;0.023511225266362252;0.32243479788830304
225;Ausência de pressupostos processuais;Conclusão;1.0;0.9702586540055314;0.018723839421613393;0.40600706917579227
226;Ausência de pressupostos processuais;Custas Processuais Emitidas;1.0;0.9702586540055314;0.0032177511415525115;0.8564958396870197
227;Ausência de pressupostos processuais;Encaminhado edital/relação para publicação;94.0;0.05853658092866452;0.023665810502283106;0.3200441797357033
228;Ausência de pressupostos processuais;Encerrar análise;5.0;0.8598795591152406;0.004252283105022831;0.8148842165686485
229;Ausência de pressupostos processuais;Expedição de Ato Ordinatório;1.0;0.9702586540055314;0.0035245433789954338;0.8439389598306174
230;Ausência de pressupostos processuais;Expedição de documento;2.0;0.9414018556726255;0.004635178843226788;0.8000010551568076
231;Ausência de pressupostos processuais;Informação;10.0;0.7393928561842206;0.001305650684931507;0.9390792976288502
232;Ausência de pressupostos processuais;Remessa dos autos;1.0;0.9702586540055314;0.003132134703196347;0.8600333116630292
233;Ausência de pressupostos processuais;Trânsito em julgado;1.0;0.9702586540055314;0.006846936834094369;0.7191980439084923
234;Autos Entregues em Carga ao Advogado;Certidão emitida;2.0;0.9414018556726255;0.031601377873908515;0.21842282511169878
235;Autos Entregues em Carga ao Advogado;Concluso para Despacho;1.0;0.9702586540055314;0.02089561804053513;0.36570205175967974
236;Autos Entregues em Carga ao Advogado;Conclusão;1.0;0.9702586540055314;0.025122166145958504;0.2983742596397983
